term_type,term,n_yes,repeat_rate_yes,repeat_rate_no,expected_value_yes,expected_value_no,expected_value_difference,corr_with_expected_value,n_returners_yes,mean_log_amount_yes,mean_log_amount_no,log_amount_difference,corr_with_log_amount_returners,effect_family,ranking_metric
project-plus-gift-size,SCHOOL_STATE x gift_decile=HI | 8,741,0.2658569500674764,0.139646101677935,401.22743589743584,20.13557496766066,381.0918609297752,0.0185178111659436,197,5.547891350934622,3.927220218053194,1.6206711328814278,0.0340845129398314,SCHOOL_STATE x gift_decile,expected_value
project-plus-gift-size,SUBJECT_CATEGORY x gift_decile=Music | 8,5673,0.2688172043010752,0.1393489224870311,207.2930971267407,19.773271230540868,187.51982589619985,0.0251829821671531,1525,5.370974276450162,3.920940246990568,1.4500340294595944,0.0846607866627396,SUBJECT_CATEGORY x gift_decile,expected_value
project-plus-gift-size,CATEGORY x gift_decile=Books | 8,28775,0.2845873153779322,0.1377301505773706,176.360538662033,18.15579750367597,158.20474115835702,0.0475922300662183,8189,5.361006003463007,3.8882493878893767,1.4727566155736298,0.1970305748869921,CATEGORY x gift_decile,expected_value
project-plus-gift-size,GRADE_LEVEL x gift_decile=Grades 6-8 | 8,27173,0.2556949913517094,0.1382092785959501,161.94277996540686,18.458771968213917,143.48400799719295,0.0419608811084655,6948,5.329488031337978,3.895203024701724,1.4342850066362542,0.1771210057148907,GRADE_LEVEL x gift_decile,expected_value
gift-size decile,first_gift_decile=True,154325,0.2593293374372266,0.1304690882559892,152.03171961768993,10.111657646923106,141.92006197076682,0.0959104471644002,40021,5.309097755161542,3.716759148006093,1.5923386071554488,0.4446322794594379,first_gift_size,expected_value
project-only,SCHOOL_STATE x CATEGORY=NH | Books,630,0.1809523809523809,0.1396774070868778,134.93660317460316,20.23300048605062,114.70360268855254,0.0051393640959472,114,3.8309521004005616,3.928316778682847,-0.0973646782822843,-0.0015579115411091,SCHOOL_STATE x CATEGORY,expected_value
individual,FULFILLMENT_AND_LABOR_MATERIALS>0=True,2127759,0.1390415925863784,0.1871834625322997,19.315891926670268,89.9539052540911,-70.63801332742082,-0.0213406662139833,295847,3.91204265205008,4.812460339993369,-0.9004176879432895,-0.0985787757848867,FULFILLMENT_AND_LABOR_MATERIALS>0,expected_value
individual,PAYMENT_PROCESSING_CHARGES>0=True,2127665,0.139030345472619,0.1878498574813695,19.313982614744333,89.86538583055717,-70.55140321581284,-0.021348515122786,295810,3.9120180559621103,4.807699885574413,-0.895681829612303,-0.0983874757071955,PAYMENT_PROCESSING_CHARGES>0,expected_value
project-only,SUBJECT_CATEGORY x CATEGORY=Financial Literacy | Supplies,514,0.2101167315175097,0.1396726754998214,83.36743190661478,20.251463930769336,63.11596797584545,0.0025544331491585,108,4.192737420264251,3.928185103086792,0.2645523171774591,0.0041201849310235,SUBJECT_CATEGORY x CATEGORY,expected_value
individual,SCHOOL_STATE=HI,9006,0.1412391738840772,0.1396829653716538,41.83536753275594,20.176063666729053,21.659303866026885,0.0036620757613348,1272,4.071370681303618,3.927673248718787,0.143697432584831,0.0076655787155045,SCHOOL_STATE,expected_value
project-plus-gift-size,SCHOOL_STATE x gift_decile=HI | 8,741,0.2658569500674764,0.139646101677935,401.22743589743584,20.13557496766066,381.0918609297752,0.0185178111659436,197,5.547891350934622,3.927220218053194,1.6206711328814278,0.0340845129398314,SCHOOL_STATE x gift_decile,conditional_amount
