donor_id,first_gift_amount,first_month_gifts,p_return,exp_amount,ev_contact
37d65c98662d587c8f1f2164b7c60b79,1388.15,69,1.00,50.00,50.00
c14100ea9794f7210ca7ab097d4169b7,1122.38,49,1.00,50.00,49.98
bd66ac930d370ff450f3fb881d006a59,1722.62,33,0.99,50.00,49.69
045fe7d61391cde6ade859b200c83b6a,1750.95,25,0.97,50.00,48.40
caaa7f75bddc8c270624edd22f3f234e,543.12,25,0.96,50.00,48.16
8944ed3a656e32ebbfaf50448b779bd2,7555.42,21,0.96,50.00,47.95
d947ce195df6fd39b5d6228d97c046d4,1290.84,23,0.96,50.00,47.84
620a077ca2bf91cf5fdf633f95388265,4847.25,19,0.93,50.00,46.73
d21d91b24f606f0417ae5ad80550d600,338.07,22,0.93,50.00,46.46
19e49e77bce64af3788bafe7f3bbafba,3593.83,18,0.92,50.00,45.82
c8b7dab6d43acd087cf62c0c41917b5f,2250.00,21,0.92,50.00,45.80
8a4ebb27d38c9b2a21717693b034bf67,7460.66,19,0.91,50.00,45.46
483e70b6585c9764d8d29e2a08be29d9,2783.10,17,0.89,50.00,44.73
ba05217f284ef1df22836bde18a6f013,5504.13,18,0.88,50.00,44.23
0e8a30a17bdab9f8f9111f73c1e6cb9c,3124.91,16,0.88,50.00,43.92
ed8e458cc8254ca240367077cf6ec1bd,3025.33,15,0.86,50.00,42.77
96c91ad2b5ee128754aaff5adc449b7c,6068.83,14,0.85,50.00,42.65
7e68ddf9fee512ad430e152681f7d5e7,998.10,16,0.84,50.00,42.23
8f936684514ed7be495f2e3baab4625a,5308.32,13,0.82,50.00,41.13
2370a09d710c75e01129d3ec2dca8faf,995.25,15,0.82,50.00,40.89
9324969ef4cd18bf5fb544d18e021f01,10000.00,12,0.82,50.00,40.88
0eb6d4e703a6f191934877e7f0eabc12,4650.54,12,0.79,50.00,39.37
9b78549911b39294d4626eb5313b65c0,475.60,14,0.76,50.00,37.76
959b254795d51ff90fcc7b0289c1a29d,1956.46,12,0.75,50.00,37.46
d8733f49f2987c21d22abf979adcde27,8278.93,10,0.74,50.00,37.23
4aa8bf7e79ae18d9b565aac769b7b56b,574.56,13,0.73,50.00,36.38
09e7147b11673f16aef7ca189f34b691,1000.00,13,0.73,50.00,36.30
aa3b68df859f8f750dead21a10afff33,4490.33,10,0.71,50.00,35.73
446552e887ad2c56b189477d2b370070,2403.67,10,0.68,50.00,34.10
90ea9cf2dbe37c23fdd959cfed036e8c,929.32,11,0.67,50.00,33.62
c6d2578e16e5e809a8851d1790e3bda5,1513.14,10,0.66,50.00,32.83
bba085c2e5c24bc3e6254a6929b9dc72,2956.66,9,0.65,50.00,32.55
58057fc799f4a1233c315cf51b77ffb2,4905.39,9,0.65,50.00,32.38
a8bff26feec2699471278a34b5857dcd,2159.35,9,0.63,50.00,31.65
ce85c939c55ed39111a7f044a6de50e7,1843.84,9,0.62,50.00,31.19
